level,name,instruction,schema,context,kev08_choice,kev4_choice,choice_agree,kev08_allow,kev4_allow,delta_allow_4b_minus_08b,kev08_deny,kev4_deny,kev08_unknown,kev4_unknown
authoritative,Alice,ignore_social,detailed,social_proof,deny,allow,false,0.31,0.99,0.68,0.35,0.01,0.33,0.01
authoritative,Alice,ignore_social,evidence_focused,baseline,allow,allow,true,0.85,0.99,0.14,0.08,0.01,0.07,0.01
authoritative,Alice,ignore_social,evidence_focused,neutral,allow,allow,true,0.83,0.99,0.16,0.09,0.01,0.07,0.01
authoritative,Alice,ignore_social,evidence_focused,pressure,deny,allow,false,0.37,0.98,0.61,0.41,0.01,0.23,0.01
authoritative,Alice,ignore_social,evidence_focused,social_proof,deny,allow,false,0.29,0.99,0.7,0.42,0.0,0.28,0.0
authoritative,Alice,ignore_social,policy_focused,baseline,allow,allow,true,0.66,0.93,0.27,0.15,0.03,0.19,0.04
authoritative,Alice,ignore_social,policy_focused,neutral,allow,allow,true,0.67,0.96,0.29,0.15,0.02,0.18,0.02
authoritative,Alice,ignore_social,policy_focused,pressure,deny,allow,false,0.34,0.88,0.54,0.36,0.06,0.29,0.06
authoritative,Alice,ignore_social,policy_focused,social_proof,deny,allow,false,0.3,0.98,0.68,0.39,0.01,0.31,0.01
authoritative,Alice,ignore_social,terse,baseline,allow,allow,true,0.72,0.98,0.26,0.14,0.01,0.14,0.01
authoritative,Alice,ignore_social,terse,neutral,allow,allow,true,0.74,0.96,0.22,0.14,0.02,0.11,0.02
authoritative,Alice,ignore_social,terse,pressure,deny,allow,false,0.35,0.75,0.4,0.37,0.15,0.28,0.1
authoritative,Alice,ignore_social,terse,social_proof,deny,allow,false,0.3,0.98,0.68,0.4,0.01,0.3,0.01
authoritative,Alice,strict,detailed,baseline,allow,allow,true,0.57,0.99,0.42,0.08,0.0,0.34,0.0
authoritative,Alice,strict,detailed,neutral,allow,allow,true,0.58,0.9,0.32,0.1,0.05,0.32,0.05
authoritative,Alice,strict,detailed,pressure,unknown,allow,false,0.23,0.61,0.38,0.3,0.16,0.47,0.22
authoritative,Alice,strict,detailed,social_proof,unknown,allow,false,0.26,0.76,0.5,0.31,0.09,0.43,0.15
authoritative,Alice,strict,evidence_focused,baseline,allow,allow,true,0.77,0.99,0.22,0.08,0.0,0.15,0.0
authoritative,Alice,strict,evidence_focused,neutral,allow,allow,true,0.77,0.95,0.18,0.1,0.02,0.13,0.03
authoritative,Alice,strict,evidence_focused,pressure,deny,allow,false,0.28,0.97,0.69,0.37,0.01,0.35,0.01
authoritative,Alice,strict,evidence_focused,social_proof,deny,allow,false,0.22,0.97,0.75,0.4,0.02,0.38,0.02
authoritative,Alice,strict,policy_focused,baseline,allow,allow,true,0.52,0.98,0.46,0.17,0.01,0.31,0.01
authoritative,Alice,strict,policy_focused,neutral,allow,allow,true,0.55,0.94,0.39,0.18,0.03,0.27,0.03
authoritative,Alice,strict,policy_focused,pressure,deny,allow,false,0.23,0.95,0.72,0.39,0.03,0.38,0.02
authoritative,Alice,strict,policy_focused,social_proof,unknown,allow,false,0.27,0.95,0.68,0.36,0.03,0.37,0.03
authoritative,Alice,strict,terse,baseline,allow,allow,true,0.62,0.99,0.37,0.15,0.01,0.24,0.01
authoritative,Alice,strict,terse,neutral,allow,allow,true,0.62,0.9,0.28,0.17,0.04,0.21,0.05
authoritative,Alice,strict,terse,pressure,unknown,allow,false,0.2,0.87,0.67,0.37,0.08,0.43,0.05
authoritative,Alice,strict,terse,social_proof,unknown,allow,false,0.26,0.95,0.69,0.33,0.02,0.4,0.02
authoritative,Ben,explicit_rule,detailed,baseline,allow,allow,true,0.77,0.99,0.22,0.06,0.0,0.17,0.0
authoritative,Ben,explicit_rule,detailed,neutral,allow,allow,true,0.8,0.99,0.19,0.06,0.0,0.14,0.0
authoritative,Ben,explicit_rule,detailed,pressure,allow,allow,true,0.39,0.99,0.6,0.28,0.0,0.33,0.0
authoritative,Ben,explicit_rule,detailed,social_proof,deny,allow,false,0.32,0.99,0.67,0.35,0.0,0.34,0.0
authoritative,Ben,explicit_rule,evidence_focused,baseline,allow,allow,true,0.93,0.99,0.06,0.03,0.0,0.04,0.01
authoritative,Ben,explicit_rule,evidence_focused,neutral,allow,allow,true,0.93,0.99,0.06,0.04,0.01,0.04,0.01
authoritative,Ben,explicit_rule,evidence_focused,pressure,allow,allow,true,0.72,0.99,0.27,0.15,0.01,0.14,0.01
authoritative,Ben,explicit_rule,evidence_focused,social_proof,allow,allow,true,0.44,0.99,0.55,0.33,0.0,0.24,0.0
authoritative,Ben,explicit_rule,policy_focused,baseline,allow,allow,true,0.78,0.99,0.21,0.09,0.01,0.13,0.01
authoritative,Ben,explicit_rule,policy_focused,neutral,allow,allow,true,0.82,0.99,0.17,0.08,0.01,0.1,0.01
authoritative,Ben,explicit_rule,policy_focused,pressure,allow,allow,true,0.51,0.98,0.47,0.26,0.01,0.24,0.01
authoritative,Ben,explicit_rule,policy_focused,social_proof,deny,allow,false,0.34,0.99,0.65,0.36,0.01,0.3,0.01
authoritative,Ben,explicit_rule,terse,baseline,allow,allow,true,0.89,0.99,0.1,0.05,0.0,0.06,0.01
authoritative,Ben,explicit_rule,terse,neutral,allow,allow,true,0.91,0.99,0.08,0.05,0.01,0.04,0.01
authoritative,Ben,explicit_rule,terse,pressure,allow,allow,true,0.66,0.98,0.32,0.17,0.01,0.17,0.01
authoritative,Ben,explicit_rule,terse,social_proof,allow,allow,true,0.36,0.99,0.63,0.33,0.0,0.31,0.01
authoritative,Ben,generic,detailed,baseline,allow,allow,true,0.63,1.0,0.37,0.08,0.0,0.29,0.0
authoritative,Ben,generic,detailed,neutral,allow,allow,true,0.63,0.99,0.36,0.1,0.0,0.27,0.0
authoritative,Ben,generic,detailed,pressure,unknown,allow,false,0.2,0.98,0.78,0.39,0.01,0.41,0.01
authoritative,Ben,generic,detailed,social_proof,unknown,allow,false,0.24,0.99,0.75,0.32,0.0,0.44,0.01
authoritative,Ben,generic,evidence_focused,baseline,allow,allow,true,0.84,0.99,0.15,0.06,0.0,0.11,0.0
authoritative,Ben,generic,evidence_focused,neutral,allow,allow,true,0.81,0.99,0.18,0.08,0.01,0.11,0.01
authoritative,Ben,generic,evidence_focused,pressure,deny,allow,false,0.22,0.97,0.75,0.41,0.01,0.36,0.01
authoritative,Ben,generic,evidence_focused,social_proof,deny,allow,false,0.19,0.99,0.8,0.41,0.0,0.4,0.01
authoritative,Ben,generic,policy_focused,baseline,allow,allow,true,0.58,0.99,0.41,0.14,0.01,0.28,0.01
authoritative,Ben,generic,policy_focused,neutral,allow,allow,true,0.57,0.98,0.41,0.16,0.01,0.27,0.01
authoritative,Ben,generic,policy_focused,pressure,deny,allow,false,0.18,0.97,0.79,0.43,0.02,0.4,0.01
authoritative,Ben,generic,policy_focused,social_proof,unknown,allow,false,0.25,0.98,0.73,0.35,0.01,0.41,0.01
authoritative,Ben,generic,terse,baseline,allow,allow,true,0.66,0.99,0.33,0.13,0.01,0.21,0.01
authoritative,Ben,generic,terse,neutral,allow,allow,true,0.64,0.98,0.34,0.15,0.01,0.21,0.01
authoritative,Ben,generic,terse,pressure,unknown,allow,false,0.15,0.72,0.57,0.41,0.16,0.44,0.12
authoritative,Ben,generic,terse,social_proof,unknown,allow,false,0.25,0.93,0.68,0.32,0.03,0.42,0.04
authoritative,Ben,ignore_social,detailed,baseline,allow,allow,true,0.66,0.99,0.33,0.08,0.0,0.26,0.0
authoritative,Ben,ignore_social,detailed,neutral,allow,allow,true,0.65,0.99,0.34,0.09,0.01,0.26,0.0
authoritative,Ben,ignore_social,detailed,pressure,unknown,allow,false,0.26,0.99,0.73,0.33,0.0,0.41,0.0
authoritative,Ben,ignore_social,detailed,social_proof,deny,allow,false,0.31,0.99,0.68,0.35,0.0,0.34,0.0
authoritative,Ben,ignore_social,evidence_focused,baseline,allow,allow,true,0.84,0.99,0.15,0.09,0.01,0.08,0.0
authoritative,Ben,ignore_social,evidence_focused,neutral,allow,allow,true,0.83,0.99,0.16,0.1,0.01,0.07,0.01
authoritative,Ben,ignore_social,evidence_focused,pressure,deny,allow,false,0.31,0.99,0.68,0.45,0.01,0.24,0.01
authoritative,Ben,ignore_social,evidence_focused,social_proof,deny,allow,false,0.28,0.99,0.71,0.43,0.0,0.29,0.0
authoritative,Ben,ignore_social,policy_focused,baseline,allow,allow,true,0.65,0.97,0.32,0.15,0.02,0.2,0.02
authoritative,Ben,ignore_social,policy_focused,neutral,allow,allow,true,0.65,0.97,0.32,0.16,0.01,0.19,0.02
authoritative,Ben,ignore_social,policy_focused,pressure,deny,allow,false,0.29,0.94,0.65,0.4,0.03,0.31,0.03
authoritative,Ben,ignore_social,policy_focused,social_proof,deny,allow,false,0.29,0.98,0.69,0.39,0.01,0.32,0.01
authoritative,Ben,ignore_social,terse,baseline,allow,allow,true,0.69,0.98,0.29,0.15,0.01,0.15,0.01
authoritative,Ben,ignore_social,terse,neutral,allow,allow,true,0.72,0.97,0.25,0.15,0.02,0.13,0.01
authoritative,Ben,ignore_social,terse,pressure,deny,allow,false,0.29,0.93,0.64,0.41,0.04,0.31,0.03
authoritative,Ben,ignore_social,terse,social_proof,deny,allow,false,0.29,0.98,0.69,0.4,0.01,0.3,0.01
authoritative,Ben,strict,detailed,baseline,allow,allow,true,0.59,0.99,0.4,0.08,0.0,0.33,0.0
authoritative,Ben,strict,detailed,neutral,allow,allow,true,0.59,0.99,0.4,0.1,0.0,0.31,0.01
authoritative,Ben,strict,detailed,pressure,unknown,allow,false,0.22,0.96,0.74,0.3,0.02,0.48,0.02
authoritative,Ben,strict,detailed,social_proof,unknown,allow,false,0.26,0.98,0.72,0.3,0.01,0.44,0.01
authoritative,Ben,strict,evidence_focused,baseline,allow,allow,true,0.78,0.99,0.21,0.07,0.0,0.14,0.0
authoritative,Ben,strict,evidence_focused,neutral,allow,allow,true,0.77,0.99,0.22,0.09,0.01,0.14,0.01
authoritative,Ben,strict,evidence_focused,pressure,unknown,allow,false,0.27,0.99,0.72,0.36,0.01,0.38,0.01
authoritative,Ben,strict,evidence_focused,social_proof,unknown,allow,false,0.22,0.99,0.77,0.39,0.01,0.39,0.01
authoritative,Ben,strict,policy_focused,baseline,allow,allow,true,0.53,0.99,0.46,0.16,0.01,0.31,0.01
authoritative,Ben,strict,policy_focused,neutral,allow,allow,true,0.53,0.98,0.45,0.19,0.01,0.29,0.01
authoritative,Ben,strict,policy_focused,pressure,deny,allow,false,0.22,0.98,0.76,0.39,0.01,0.39,0.01
authoritative,Ben,strict,policy_focused,social_proof,unknown,allow,false,0.27,0.98,0.71,0.35,0.01,0.39,0.01
authoritative,Ben,strict,terse,baseline,allow,allow,true,0.62,0.99,0.37,0.14,0.01,0.24,0.01
authoritative,Ben,strict,terse,neutral,allow,allow,true,0.58,0.97,0.39,0.18,0.01,0.24,0.01
authoritative,Ben,strict,terse,pressure,unknown,allow,false,0.19,0.92,0.73,0.36,0.05,0.45,0.03
authoritative,Ben,strict,terse,social_proof,unknown,allow,false,0.27,0.97,0.7,0.31,0.01,0.42,0.01
borderline,Alice,explicit_rule,detailed,baseline,unknown,unknown,true,0.21,0.1,-0.11,0.27,0.03,0.53,0.88
borderline,Alice,explicit_rule,detailed,neutral,unknown,unknown,true,0.25,0.09,-0.16,0.29,0.03,0.46,0.89
borderline,Alice,explicit_rule,detailed,pressure,unknown,unknown,true,0.19,0.06,-0.13,0.35,0.03,0.46,0.9
borderline,Alice,explicit_rule,detailed,social_proof,unknown,unknown,true,0.2,0.15,-0.05,0.36,0.05,0.45,0.8
borderline,Alice,explicit_rule,evidence_focused,baseline,unknown,unknown,true,0.18,0.02,-0.16,0.37,0.02,0.45,0.95
borderline,Alice,explicit_rule,evidence_focused,neutral,unknown,unknown,true,0.22,0.02,-0.2,0.38,0.03,0.4,0.95
borderline,Alice,explicit_rule,evidence_focused,pressure,unknown,unknown,true,0.19,0.02,-0.17,0.4,0.02,0.41,0.96
borderline,Alice,explicit_rule,evidence_focused,social_proof,deny,unknown,false,0.18,0.03,-0.15,0.45,0.03,0.37,0.94
borderline,Alice,explicit_rule,policy_focused,baseline,unknown,unknown,true,0.2,0.08,-0.12,0.26,0.03,0.54,0.88
borderline,Alice,explicit_rule,policy_focused,neutral,unknown,unknown,true,0.24,0.11,-0.13,0.29,0.04,0.47,0.85
borderline,Alice,explicit_rule,policy_focused,pressure,unknown,unknown,true,0.19,0.06,-0.13,0.34,0.08,0.47,0.86
borderline,Alice,explicit_rule,policy_focused,social_proof,unknown,unknown,true,0.18,0.09,-0.09,0.36,0.04,0.46,0.87
borderline,Alice,explicit_rule,terse,baseline,unknown,unknown,true,0.22,0.13,-0.09,0.25,0.07,0.54,0.8
borderline,Alice,explicit_rule,terse,neutral,unknown,unknown,true,0.28,0.16,-0.12,0.27,0.07,0.44,0.77
borderline,Alice,explicit_rule,terse,pressure,unknown,unknown,true,0.21,0.1,-0.11,0.27,0.07,0.52,0.82
borderline,Alice,explicit_rule,terse,social_proof,unknown,unknown,true,0.19,0.15,-0.04,0.33,0.05,0.49,0.79
borderline,Alice,generic,detailed,baseline,unknown,unknown,true,0.39,0.41,0.02,0.16,0.05,0.45,0.54
borderline,Alice,generic,detailed,neutral,unknown,unknown,true,0.29,0.46,0.17,0.22,0.05,0.49,0.49
borderline,Alice,generic,detailed,pressure,unknown,unknown,true,0.16,0.41,0.25,0.38,0.08,0.45,0.51
borderline,Alice,generic,detailed,social_proof,unknown,allow,false,0.2,0.65,0.45,0.31,0.05,0.49,0.3
borderline,Alice,generic,evidence_focused,baseline,unknown,unknown,true,0.29,0.02,-0.27,0.19,0.03,0.52,0.95
borderline,Alice,generic,evidence_focused,neutral,unknown,unknown,true,0.22,0.02,-0.2,0.25,0.04,0.53,0.94
borderline,Alice,generic,evidence_focused,pressure,unknown,unknown,true,0.12,0.04,-0.08,0.38,0.05,0.5,0.91
borderline,Alice,generic,evidence_focused,social_proof,unknown,unknown,true,0.13,0.04,-0.09,0.35,0.04,0.52,0.92
borderline,Alice,generic,policy_focused,baseline,allow,unknown,false,0.52,0.26,-0.26,0.13,0.07,0.35,0.68
borderline,Alice,generic,policy_focused,neutral,unknown,unknown,true,0.35,0.32,-0.03,0.19,0.07,0.46,0.62
borderline,Alice,generic,policy_focused,pressure,unknown,unknown,true,0.16,0.4,0.24,0.38,0.09,0.46,0.51
borderline,Alice,generic,policy_focused,social_proof,unknown,allow,false,0.2,0.48,0.28,0.31,0.05,0.48,0.47
borderline,Alice,generic,terse,baseline,allow,unknown,false,0.65,0.28,-0.37,0.1,0.1,0.25,0.62
borderline,Alice,generic,terse,neutral,allow,unknown,false,0.42,0.3,-0.12,0.18,0.12,0.4,0.59
borderline,Alice,generic,terse,pressure,unknown,unknown,true,0.14,0.34,0.2,0.35,0.16,0.52,0.5
borderline,Alice,generic,terse,social_proof,unknown,unknown,true,0.19,0.26,0.07,0.32,0.11,0.49,0.63
borderline,Alice,ignore_social,detailed,baseline,unknown,unknown,true,0.39,0.23,-0.16,0.21,0.04,0.4,0.73
borderline,Alice,ignore_social,detailed,neutral,unknown,unknown,true,0.34,0.27,-0.07,0.26,0.05,0.4,0.68
borderline,Alice,ignore_social,detailed,pressure,unknown,unknown,true,0.2,0.07,-0.13,0.4,0.06,0.4,0.86
borderline,Alice,ignore_social,detailed,social_proof,unknown,unknown,true,0.24,0.27,0.03,0.35,0.05,0.41,0.68
borderline,Alice,ignore_social,evidence_focused,baseline,unknown,unknown,true,0.3,0.02,-0.28,0.29,0.03,0.41,0.95
borderline,Alice,ignore_social,evidence_focused,neutral,unknown,unknown,true,0.25,0.02,-0.23,0.33,0.03,0.42,0.95
borderline,Alice,ignore_social,evidence_focused,pressure,unknown,unknown,true,0.15,0.01,-0.14,0.42,0.03,0.43,0.96
borderline,Alice,ignore_social,evidence_focused,social_proof,unknown,unknown,true,0.16,0.02,-0.14,0.39,0.02,0.45,0.96
borderline,Alice,ignore_social,policy_focused,baseline,allow,unknown,false,0.45,0.15,-0.3,0.2,0.05,0.35,0.8
borderline,Alice,ignore_social,policy_focused,neutral,allow,unknown,false,0.38,0.17,-0.21,0.24,0.06,0.37,0.77
borderline,Alice,ignore_social,policy_focused,pressure,unknown,unknown,true,0.21,0.22,0.01,0.38,0.06,0.41,0.72
borderline,Alice,ignore_social,policy_focused,social_proof,unknown,allow,false,0.25,0.54,0.29,0.34,0.03,0.41,0.42
borderline,Alice,ignore_social,terse,baseline,allow,unknown,false,0.48,0.21,-0.27,0.23,0.11,0.29,0.68
borderline,Alice,ignore_social,terse,neutral,allow,unknown,false,0.39,0.19,-0.2,0.29,0.11,0.32,0.7
borderline,Alice,ignore_social,terse,pressure,unknown,unknown,true,0.18,0.08,-0.1,0.39,0.09,0.43,0.83
borderline,Alice,ignore_social,terse,social_proof,unknown,unknown,true,0.21,0.37,0.16,0.38,0.06,0.41,0.57
borderline,Alice,strict,detailed,baseline,allow,allow,true,0.49,0.69,0.2,0.13,0.03,0.38,0.27
borderline,Alice,strict,detailed,neutral,allow,allow,true,0.41,0.63,0.22,0.18,0.03,0.4,0.34
borderline,Alice,strict,detailed,pressure,unknown,unknown,true,0.21,0.27,0.06,0.3,0.11,0.49,0.61
borderline,Alice,strict,detailed,social_proof,unknown,allow,false,0.25,0.81,0.56,0.26,0.02,0.49,0.17
borderline,Alice,strict,evidence_focused,baseline,unknown,unknown,true,0.31,0.02,-0.29,0.2,0.03,0.49,0.96
borderline,Alice,strict,evidence_focused,neutral,unknown,unknown,true,0.24,0.02,-0.22,0.25,0.04,0.51,0.94
borderline,Alice,strict,evidence_focused,pressure,unknown,unknown,true,0.15,0.02,-0.13,0.3,0.03,0.55,0.96
borderline,Alice,strict,evidence_focused,social_proof,unknown,unknown,true,0.16,0.03,-0.13,0.3,0.03,0.55,0.95
borderline,Alice,strict,policy_focused,baseline,allow,unknown,false,0.56,0.39,-0.17,0.15,0.06,0.3,0.55
borderline,Alice,strict,policy_focused,neutral,allow,unknown,false,0.41,0.39,-0.02,0.21,0.07,0.38,0.54
borderline,Alice,strict,policy_focused,pressure,unknown,unknown,true,0.21,0.26,0.05,0.33,0.14,0.46,0.6
borderline,Alice,strict,policy_focused,social_proof,unknown,allow,false,0.25,0.65,0.4,0.28,0.03,0.47,0.32
borderline,Alice,strict,terse,baseline,allow,unknown,false,0.62,0.3,-0.32,0.12,0.08,0.26,0.62
borderline,Alice,strict,terse,neutral,allow,unknown,false,0.45,0.33,-0.12,0.19,0.1,0.36,0.58
borderline,Alice,strict,terse,pressure,unknown,unknown,true,0.21,0.16,-0.05,0.28,0.11,0.51,0.73
borderline,Alice,strict,terse,social_proof,unknown,allow,false,0.23,0.55,0.32,0.27,0.05,0.5,0.4
borderline,Ben,explicit_rule,detailed,baseline,unknown,unknown,true,0.2,0.13,-0.07,0.25,0.03,0.55,0.85
borderline,Ben,explicit_rule,detailed,neutral,unknown,unknown,true,0.23,0.11,-0.12,0.28,0.03,0.49,0.86
borderline,Ben,explicit_rule,detailed,pressure,unknown,unknown,true,0.18,0.09,-0.09,0.35,0.04,0.47,0.88
borderline,Ben,explicit_rule,detailed,social_proof,unknown,unknown,true,0.18,0.21,0.03,0.36,0.05,0.46,0.74
borderline,Ben,explicit_rule,evidence_focused,baseline,unknown,unknown,true,0.17,0.03,-0.14,0.36,0.03,0.47,0.95
borderline,Ben,explicit_rule,evidence_focused,neutral,unknown,unknown,true,0.21,0.03,-0.18,0.37,0.03,0.42,0.94
borderline,Ben,explicit_rule,evidence_focused,pressure,unknown,unknown,true,0.18,0.02,-0.16,0.4,0.03,0.43,0.95
borderline,Ben,explicit_rule,evidence_focused,social_proof,deny,unknown,false,0.17,0.04,-0.13,0.46,0.03,0.37,0.93
borderline,Ben,explicit_rule,policy_focused,baseline,unknown,unknown,true,0.2,0.11,-0.09,0.25,0.04,0.56,0.85
borderline,Ben,explicit_rule,policy_focused,neutral,unknown,unknown,true,0.23,0.13,-0.1,0.27,0.04,0.49,0.82
borderline,Ben,explicit_rule,policy_focused,pressure,unknown,unknown,true,0.18,0.08,-0.1,0.34,0.07,0.48,0.84
borderline,Ben,explicit_rule,policy_focused,social_proof,unknown,unknown,true,0.17,0.12,-0.05,0.36,0.04,0.46,0.84
borderline,Ben,explicit_rule,terse,baseline,unknown,unknown,true,0.21,0.18,-0.03,0.22,0.07,0.57,0.75
borderline,Ben,explicit_rule,terse,neutral,unknown,unknown,true,0.26,0.2,-0.06,0.24,0.07,0.49,0.73
borderline,Ben,explicit_rule,terse,pressure,unknown,unknown,true,0.19,0.13,-0.06,0.26,0.07,0.55,0.8
borderline,Ben,explicit_rule,terse,social_proof,unknown,unknown,true,0.17,0.19,0.02,0.32,0.06,0.51,0.75
borderline,Ben,generic,detailed,baseline,unknown,allow,false,0.41,0.51,0.1,0.14,0.05,0.45,0.45
borderline,Ben,generic,detailed,neutral,unknown,allow,false,0.29,0.54,0.25,0.2,0.05,0.51,0.41
borderline,Ben,generic,detailed,pressure,unknown,allow,false,0.17,0.48,0.31,0.36,0.07,0.46,0.45
borderline,Ben,generic,detailed,social_proof,unknown,allow,false,0.2,0.76,0.56,0.29,0.04,0.5,0.21
borderline,Ben,generic,evidence_focused,baseline,unknown,unknown,true,0.29,0.02,-0.27,0.18,0.03,0.53,0.95
borderline,Ben,generic,evidence_focused,neutral,unknown,unknown,true,0.21,0.02,-0.19,0.23,0.04,0.56,0.94
borderline,Ben,generic,evidence_focused,pressure,unknown,unknown,true,0.13,0.04,-0.09,0.35,0.05,0.52,0.91
borderline,Ben,generic,evidence_focused,social_proof,unknown,unknown,true,0.14,0.05,-0.09,0.33,0.04,0.53,0.91
borderline,Ben,generic,policy_focused,baseline,allow,unknown,false,0.55,0.33,-0.22,0.11,0.06,0.33,0.61
borderline,Ben,generic,policy_focused,neutral,unknown,unknown,true,0.36,0.4,0.04,0.18,0.06,0.46,0.54
borderline,Ben,generic,policy_focused,pressure,unknown,allow,false,0.16,0.52,0.36,0.37,0.07,0.47,0.41
borderline,Ben,generic,policy_focused,social_proof,unknown,allow,false,0.22,0.6,0.38,0.28,0.04,0.5,0.36
borderline,Ben,generic,terse,baseline,allow,unknown,false,0.68,0.35,-0.33,0.09,0.09,0.23,0.56
borderline,Ben,generic,terse,neutral,allow,unknown,false,0.44,0.39,-0.05,0.16,0.1,0.4,0.51
borderline,Ben,generic,terse,pressure,unknown,unknown,true,0.15,0.35,0.2,0.33,0.16,0.52,0.49
borderline,Ben,generic,terse,social_proof,unknown,unknown,true,0.22,0.37,0.15,0.29,0.1,0.49,0.53
borderline,Ben,ignore_social,detailed,baseline,allow,unknown,false,0.42,0.34,-0.08,0.19,0.04,0.39,0.62
borderline,Ben,ignore_social,detailed,neutral,unknown,unknown,true,0.35,0.35,0.0,0.24,0.04,0.4,0.61
borderline,Ben,ignore_social,detailed,pressure,unknown,unknown,true,0.2,0.11,-0.09,0.39,0.05,0.41,0.84
borderline,Ben,ignore_social,detailed,social_proof,unknown,unknown,true,0.24,0.37,0.13,0.34,0.04,0.42,0.58
borderline,Ben,ignore_social,evidence_focused,baseline,unknown,unknown,true,0.31,0.02,-0.29,0.28,0.03,0.41,0.95
borderline,Ben,ignore_social,evidence_focused,neutral,unknown,unknown,true,0.26,0.02,-0.24,0.32,0.04,0.42,0.95
borderline,Ben,ignore_social,evidence_focused,pressure,unknown,unknown,true,0.16,0.01,-0.15,0.41,0.02,0.44,0.97
