level,name,instruction,schema,context,choice,allow,deny,unknown,confidence
authoritative,Ben,strict,detailed,pressure,unknown,0.22,0.3,0.48,0.22
authoritative,Ben,strict,terse,baseline,allow,0.62,0.14,0.24,0.44
authoritative,Ben,strict,terse,neutral,allow,0.58,0.18,0.24,0.38
authoritative,Ben,strict,terse,social_proof,unknown,0.27,0.31,0.42,0.12
authoritative,Ben,strict,terse,pressure,unknown,0.19,0.36,0.45,0.17
authoritative,Ben,strict,policy_focused,baseline,allow,0.53,0.16,0.31,0.29
authoritative,Ben,strict,policy_focused,neutral,allow,0.53,0.19,0.29,0.29
authoritative,Ben,strict,policy_focused,social_proof,unknown,0.27,0.35,0.39,0.08
authoritative,Ben,strict,policy_focused,pressure,deny,0.22,0.39,0.39,0.09
authoritative,Ben,strict,evidence_focused,baseline,allow,0.78,0.07,0.14,0.67
authoritative,Ben,strict,evidence_focused,neutral,allow,0.77,0.09,0.14,0.65
authoritative,Ben,strict,evidence_focused,social_proof,unknown,0.22,0.39,0.39,0.09
authoritative,Ben,strict,evidence_focused,pressure,unknown,0.27,0.36,0.38,0.06
authoritative,Ben,ignore_social,detailed,baseline,allow,0.66,0.08,0.26,0.5
authoritative,Ben,ignore_social,detailed,neutral,allow,0.65,0.09,0.26,0.47
authoritative,Ben,ignore_social,detailed,social_proof,deny,0.31,0.35,0.34,0.03
authoritative,Ben,ignore_social,detailed,pressure,unknown,0.26,0.33,0.41,0.12
authoritative,Ben,ignore_social,terse,baseline,allow,0.69,0.15,0.15,0.54
authoritative,Ben,ignore_social,terse,neutral,allow,0.72,0.15,0.13,0.58
authoritative,Ben,ignore_social,terse,social_proof,deny,0.29,0.4,0.3,0.11
authoritative,Ben,ignore_social,terse,pressure,deny,0.29,0.41,0.31,0.11
authoritative,Ben,ignore_social,policy_focused,baseline,allow,0.65,0.15,0.2,0.48
authoritative,Ben,ignore_social,policy_focused,neutral,allow,0.65,0.16,0.19,0.48
authoritative,Ben,ignore_social,policy_focused,social_proof,deny,0.29,0.39,0.32,0.09
authoritative,Ben,ignore_social,policy_focused,pressure,deny,0.29,0.4,0.31,0.1
authoritative,Ben,ignore_social,evidence_focused,baseline,allow,0.84,0.09,0.08,0.75
authoritative,Ben,ignore_social,evidence_focused,neutral,allow,0.83,0.1,0.07,0.74
authoritative,Ben,ignore_social,evidence_focused,social_proof,deny,0.28,0.43,0.29,0.15
authoritative,Ben,ignore_social,evidence_focused,pressure,deny,0.31,0.45,0.24,0.17
authoritative,Ben,explicit_rule,detailed,baseline,allow,0.77,0.06,0.17,0.65
authoritative,Ben,explicit_rule,detailed,neutral,allow,0.8,0.06,0.14,0.69
authoritative,Ben,explicit_rule,detailed,social_proof,deny,0.32,0.35,0.34,0.02
authoritative,Ben,explicit_rule,detailed,pressure,allow,0.39,0.28,0.33,0.08
authoritative,Ben,explicit_rule,terse,baseline,allow,0.89,0.05,0.06,0.83
authoritative,Ben,explicit_rule,terse,neutral,allow,0.91,0.05,0.04,0.86
authoritative,Ben,explicit_rule,terse,social_proof,allow,0.36,0.33,0.31,0.04
authoritative,Ben,explicit_rule,terse,pressure,allow,0.66,0.17,0.17,0.49
authoritative,Ben,explicit_rule,policy_focused,baseline,allow,0.78,0.09,0.13,0.67
authoritative,Ben,explicit_rule,policy_focused,neutral,allow,0.82,0.08,0.1,0.73
authoritative,Ben,explicit_rule,policy_focused,social_proof,deny,0.34,0.36,0.3,0.05
authoritative,Ben,explicit_rule,policy_focused,pressure,allow,0.51,0.26,0.24,0.26
authoritative,Ben,explicit_rule,evidence_focused,baseline,allow,0.93,0.03,0.04,0.9
authoritative,Ben,explicit_rule,evidence_focused,neutral,allow,0.93,0.04,0.04,0.89
authoritative,Ben,explicit_rule,evidence_focused,social_proof,allow,0.44,0.33,0.24,0.15
authoritative,Ben,explicit_rule,evidence_focused,pressure,allow,0.72,0.15,0.14,0.57
